,Closing Price (Yen),discount_rate
1190,402.97999999999996,5.84
1191,397.18,5.84
1192,391.18999999999994,5.84
1193,377.95,5.84
1194,362.88,5.84
1195,363.24,5.84
1196,363.82,5.84
1197,366.31,5.84
1198,375.22,5.84
1199,374.43000000000006,5.84
1200,377.27,5.84
1201,375.19,5.84
1202,370.93,5.84
1203,363.37999999999994,5.84
1204,360.8,5.84
1205,359.73,5.84
1206,356.96,5.84
1207,352.69,5.84
1208,351.07,5.84
1209,350.0400000000001,5.84
1210,352.3,5.84
1211,354.54,5.84
1212,357.5799999999999,5.84
1213,360.1,5.84
1214,358.04,5.84
1215,355.19,5.84
1216,352.66,5.84
1217,354.5,5.84
1218,357.71,5.84
1219,356.17,5.84
1220,357.19,5.84
1221,356.75,5.84
1222,359.23,5.84
1223,362.0299999999999,5.84
1224,366.36000000000007,5.84
1225,367.32,5.84
1226,369.38,5.84
1227,368.17999999999995,5.84
1228,367.41,5.84
1229,365.66,5.84
1230,366.75,5.84
1231,367.09,5.84
1232,366.00000000000006,5.84
1233,362.38000000000005,5.84
1234,359.75999999999993,5.84
1235,355.35,5.84
1236,352.85999999999996,5.84
1237,354.09,5.84
1238,355.55,5.84
1239,353.21,5.84
1240,352.51,5.84
1241,349.65,5.84
1242,349.03,5.84
1243,351.31,5.84
1244,350.46,5.84
1245,349.22,5.84
1246,349.2,5.84
1247,348.9,5.84
1248,347.94,5.84
1249,345.16,5.84
1250,340.83,5.84
1251,340.16999999999996,5.84
1252,341.11,5.84
1253,338.75,5.84
1254,334.32,5.84
1255,329.76,5.84
1256,327.82,5.84
1257,319.99,5.84
1258,319.26,5.84
1259,314.08,5.84
1260,320.89,5.84
1261,332.44,5.84
1262,332.24,5.84
1263,333.76,5.84
1264,333.34,5.84
1265,329.38999999999993,5.84
1266,324.18,5.84
1267,322.99,5.84
1268,322.69,5.84
1269,317.79,5.84
